"BehaviorSpace results (NetLogo 6.1.0)"
"eia2DMidgardBase.nlogo"
"variedAttack"
"07/03/2019 03:19:19:478 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","100"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"energy_epsylon","17","17","17","18","18","18","19","19","19","20","20","20","21","21","21","22","22","22"
"timer_umbral","50","75","100","50","75","100","50","75","100","50","75","100","50","75","100","50","75","100"
"normality_umbral","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"
"archivoAtaque","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00","Switch-00"
"activar-penalizacion","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"Tipo_ataque","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques","Distintos Ataques"
"ArchivoAtaque2","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00","Tor-00"
"[reporter]","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad","sensibilidad + especificidad"
"[final]","0.8798586736233402","0.9940238036977163","1.5687894594448835","1.2088124403581564","1.448970472022432","0.869212039039027","0.8990812537523383","0.8880621821794518","1.5049291741267723","1.0769491545065277","1.2203940005375287","0.8696158541558859","0.7442535459736379","1.0490420533775837","0.9581234809576212","1.0286189032720168","0.9671545876472688","0.8963731964819057"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","1.5381727158948686","1.8898623279098874","1.7734668335419275","1.6282853566958697","1.574468085106383","1.821247892074199","1.7822277847309136","1.7327044025157232","1.9036295369211516","1.8773466833541927","1.5882352941176472","1.7217125382262997","1.7984981226533168","1.7947494033412887","1.7738693467336684","1.8898623279098874","1","1.4331797235023043"
"[mean]","1.0535072523214768","1.2533946182501923","1.4422396473450103","1.2956128876490767","1.2669094327156165","1.069270342218522","1.0354628582330798","1.054718262005383","1.3985756686745379","1.336979031776932","1.2953058522546759","0.9822809867827346","1.1065917446567108","1.1395643224351326","1.0116842195197888","1.1525384469150248","0.9518886299562298","0.9565108188698351"
"[steps]","7007","7007","7007","7007","7007","7007","7007","7007","7007","7007","7007","7007","7007","7007","7007","7007","7007","7007"

